"0","37","1907","2009-09-02 02:46:49"
"1","77","362","2014-08-17 02:04:07"
"2","63","162","2015-12-18 00:11:05"
"3","97","1283","1998-03-18 12:27:15"
"4","75","459","1997-07-07 12:30:32"
"5","72","572","1985-05-19 04:21:20"
"6","65","446","2020-05-28 05:45:50"
"7","94","644","1985-06-28 20:46:35"
"8","63","1857","2020-12-01 14:17:29"
"9","76","1623","2003-12-20 06:22:01"
"10","85","651","2018-12-25 02:01:56"
"11","64","220","2022-05-05 07:51:56"
"12","39","392","2020-07-17 18:47:52"
"13","83","1083","2022-04-30 20:01:33"
"14","76","567","1982-01-24 04:32:20"
"15","74","115","2001-04-18 04:08:10"
"16","93","584","2011-04-30 03:36:29"
"17","1","1857","1977-11-11 08:00:11"
"18","60","1089","2002-09-12 16:35:46"
"19","85","24","2013-01-09 22:32:40"
"20","23","830","1994-10-29 02:55:45"
"21","1","1498","1996-12-10 02:57:17"
"22","92","64","1970-12-31 00:35:42"
"23","11","1265","1995-03-14 13:49:20"
"24","21","1352","1981-01-07 07:43:15"
"25","75","920","1973-11-03 17:20:36"
"26","11","1106","1971-12-16 10:39:59"
"27","87","1352","1972-08-27 13:45:24"
"28","23","162","2015-02-19 05:16:49"
"29","82","77","2000-07-24 07:25:56"
"30","53","589","1973-05-24 13:13:17"
"31","72","1752","2023-06-09 00:01:09"
"32","75","1609","1978-11-01 08:24:15"
"33","6","1562","2018-04-08 23:35:59"
"34","20","1086","1976-02-21 08:12:59"
"35","68","1600","1997-12-06 13:35:15"
"36","35","838","2015-06-18 15:48:44"
"37","35","122","1976-12-13 08:31:51"
"38","11","336","2013-11-26 18:33:17"
"39","69","908","2004-11-10 07:57:25"
"40","20","505","2022-10-05 19:14:14"
"41","72","1357","1989-04-12 07:10:05"
"42","25","1881","2014-08-25 00:55:26"
"43","83","1544","2012-08-25 20:55:23"
"44","47","1265","2005-01-08 03:35:25"
"45","96","764","2020-10-08 20:10:40"
"46","79","58","1996-10-07 22:56:05"
"47","57","125","1984-05-24 10:07:41"
"48","90","1895","1979-06-13 22:28:08"
"49","58","1165","1994-11-11 01:01:24"
"50","88","426","2009-09-21 11:51:09"
"51","72","637","1990-01-22 00:27:38"
"52","66","1306","2015-07-26 19:46:24"
"53","94","1678","1999-07-16 09:42:54"
"54","43","1079","2008-04-06 00:38:44"
"55","65","789","1977-02-10 19:28:49"
"56","9","1186","1984-07-21 14:16:54"
"57","21","669","1989-07-31 11:23:08"
"58","63","1736","2009-03-14 20:29:57"
"59","56","584","1970-05-12 13:38:02"
"60","58","1018","1976-04-20 21:21:05"
"61","21","1421","2012-01-18 09:58:50"
"62","63","299","1995-07-23 21:50:18"
"63","96","1246","1989-01-19 06:55:12"
"64","96","999","1976-09-01 11:09:41"
"65","93","497","1981-09-02 08:43:55"
"66","54","957","2021-08-19 09:44:57"
"67","80","183","1973-10-13 00:52:43"
"68","93","1681","1973-06-02 01:30:11"
"69","46","676","1992-02-24 20:15:19"
"70","7","1936","1984-09-30 22:18:16"
"71","77","1002","1986-04-21 11:34:36"
"72","79","1200","1992-06-07 11:04:55"
"73","34","964","2010-01-30 04:41:23"
"74","49","1423","1972-05-28 18:30:13"
"75","93","1341","2017-08-05 21:08:52"
"76","61","673","2009-01-22 17:47:00"
"77","9","1864","1973-06-25 10:21:48"
"78","37","1835","1999-12-02 05:42:06"
"79","0","812","2023-08-18 01:46:03"
"80","61","505","1972-09-27 22:58:35"
"81","79","460","1998-07-14 22:27:02"
"82","4","1775","1988-12-02 04:15:33"
"83","27","582","1998-01-04 06:15:11"
"84","63","1778","1988-02-07 21:38:00"
"85","30","310","2002-05-31 23:39:03"
"86","82","1126","1985-07-10 21:03:35"
"87","90","1088","1977-06-20 03:13:53"
"88","85","1778","1987-11-25 19:17:40"
"89","1","1793","2012-08-02 23:17:45"
"90","81","432","1984-08-10 04:49:26"
"91","31","1036","2017-09-18 11:13:38"
"92","19","270","1973-01-30 07:53:43"
"93","90","1492","2002-10-11 17:51:54"
"94","35","752","1984-06-17 05:21:20"
"95","89","915","2008-05-20 17:08:52"
"96","25","424","2015-02-19 02:14:33"
"97","14","245","1991-07-05 12:43:06"
"98","46","1262","2023-03-06 12:54:48"
"99","7","1078","1985-04-08 03:25:22"
"100","86","136","2005-07-13 05:40:27"
"101","25","1114","1981-07-07 14:26:26"
"102","48","1955","2011-02-08 20:06:54"
"103","20","122","2013-11-03 01:26:18"
"104","99","1955","2006-11-17 17:48:16"
"105","89","454","1987-09-02 13:06:13"
"106","93","1928","2009-12-30 05:08:16"
"107","10","803","2004-11-19 07:50:30"
"108","77","1890","1974-09-12 02:15:25"
"109","97","1338","1998-11-07 06:14:01"
"110","45","1207","1984-03-31 22:28:43"
"111","77","1177","2023-04-28 13:58:49"
"112","64","1744","2019-01-23 21:27:51"
"113","33","492","2018-01-17 17:07:57"
"114","38","1005","1987-03-06 02:03:16"
"115","90","584","2012-02-05 04:58:53"
"116","6","369","1970-01-17 09:43:37"
"117","80","1018","2011-09-13 23:49:54"
"118","11","1828","1995-09-19 09:30:32"
"119","71","834","1981-09-01 07:55:02"
"120","29","1230","1972-01-17 16:28:11"
"121","51","223","2021-10-23 04:36:39"
"122","56","392","1993-03-22 21:57:26"
"123","75","10","2015-08-10 14:05:15"
"124","76","125","2013-03-01 07:36:46"
"125","58","609","1996-05-20 17:58:59"
"126","91","1186","2005-01-02 11:30:26"
"127","17","1738","2009-04-26 11:21:31"
"128","79","712","2011-01-25 03:15:38"
"129","81","1283","2006-09-23 18:59:42"
"130","80","1149","2007-06-02 09:33:47"
"131","30","637","2021-05-20 04:48:57"
"132","94","223","1994-03-03 07:21:02"
"133","12","718","2003-07-28 13:02:39"
"134","16","423","2002-04-03 02:25:57"
"135","50","860","1996-05-02 22:32:25"
"136","72","469","1977-04-04 22:47:44"
"137","84","1881","1993-09-08 00:12:06"
"138","50","1726","2014-12-04 22:22:57"
"139","3","1821","2007-06-07 21:53:05"
"140","9","464","2017-12-30 14:08:59"
"141","43","1910","1983-11-20 20:36:10"
"142","84","1996","1990-04-28 23:36:21"
"143","67","1380","2004-07-04 10:06:42"
"144","84","679","1977-04-12 02:59:03"
"145","58","625","2014-03-05 06:11:07"
"146","14","726","2014-01-08 14:16:22"
"147","1","268","2010-12-13 13:12:16"
"148","50","75","1997-03-01 08:52:40"
"149","33","1073","2023-04-24 15:36:56"
"150","49","1584","2023-03-10 13:52:52"
"151","21","1018","2009-10-13 14:44:21"
"152","75","9","2012-09-23 16:14:24"
"153","19","1629","1979-03-27 00:29:35"
"154","50","359","1977-01-13 19:31:30"
"155","55","1926","2018-03-16 13:58:47"
"156","25","1512","2013-03-06 23:57:57"
